tod_main_mode,trip_purpose_main_mode,model_type_main_mode,main_mode_utility_lhs,main_mode_utility_equation,main_mode_comments,tod_access_mode,trip_purpose_access_mode,model_type_access_mode,access_transit_mode,access_mode_utility_lhs,access_mode_utility_equation,access_mode_comments,tod_egress_mode,trip_purpose_egress_mode,model_type_egress_mode,egress_transit_mode,egress_mode_utility_lhs,egress_mode_utility_equation,egress_mode_comments
AM,HBW,MNL,V_School_Bus,(-1.021) - 0.006*ivtt_School_Bus - 0.006*ovtt_School_Bus - 0.002*cost_School_Bus,,AM,HBW,MNL,Metro,V_access_Auto_Rickshaw,(- 0.007)*ivtt_access_Auto_Rickshaw - 0.007*ovtt_access_Auto_Rickshaw - 0.002*cost_access_Auto_Rickshaw,,AM,HBW,MNL,Bus_and_Metro,V_egress_App_Based_Car,0.049 - 0.007*ivtt_egress_App_Based_Car - 0.007*ovtt_egress_App_Based_Car - 0.002*cost_egress_App_Based_Car,
,,,,,,AM,HBW,MNL,Metro,V_access_App_Based_Two_Wheeler,0.632 - 0.007*ivtt_access_App_Based_Two_Wheeler - 0.007*ovtt_access_App_Based_Two_Wheeler - 0.002*cost_access_App_Based_Two_Wheeler,,,,,,,,
,,,,,,AM,HBW,MNL,Metro,V_access_App_Based_Car,(-0.271) - 0.007*ivtt_access_App_Based_Car - 0.007*ovtt_access_App_Based_Car - 0.002*cost_access_App_Based_Car,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_Walk,0.963 - 0.019*ivtt_access_Walk - 0*ovtt_access_Walk - 0*cost_access_Walk,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_Bicycle,0.246 - 0.019*ivtt_access_Bicycle - 0*ovtt_access_Bicycle - 0*cost_access_Bicycle,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_Own_Two_Wheeler,0.259 - 0.007*ivtt_access_Own_Two_Wheeler - 0.007*ovtt_access_Own_Two_Wheeler - 0.002*cost_access_Own_Two_Wheeler,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_Own_Car,0.111 - 0.007*ivtt_access_Own_Car - 0.007*ovtt_access_Own_Car - 0.002*cost_access_Own_Car,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_Auto_Rickshaw,(- 0.007)*ivtt_access_Auto_Rickshaw - 0.007*ovtt_access_Auto_Rickshaw - 0.002*cost_access_Auto_Rickshaw,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_App_Based_Two_Wheeler,0.259 - 0.007*ivtt_access_App_Based_Two_Wheeler - 0.007*ovtt_access_App_Based_Two_Wheeler - 0.002*cost_access_App_Based_Two_Wheeler,,,,,,,,
,,,,,,AM,HBW,MNL,Bus_and_Metro,V_access_App_Based_Car,0.111 - 0.007*ivtt_access_App_Based_Car - 0.007*ovtt_access_App_Based_Car - 0.002*cost_access_App_Based_Car,,,,,,,,
